Loaded checkpoints/v0.7.1/deepnash_async_v0.7.1_100000.pt (history=8); engine=/home/tristan/Dropbox/JKU/Semester_14/02_thesis/deepnash-rbc/tools/stockfish/stockfish-ubuntu-x86-64-bmi2
[mq:mht] game 14/100 (B, loss): 14 moves analysed
[mq:mht] game 15/100 (W, win): 5 moves analysed
[mq:mht] game 16/100 (B, loss): 11 moves analysed
[mq:mht] game 17/100 (W, loss): 13 moves analysed
[mq] game vs mht aborted: EngineTerminatedError: engine process died unexpectedly (exit code: -11)
[mq:mht] game 19/100 (W, win): 5 moves analysed
[mq:mht] game 20/100 (B, loss): 15 moves analysed
[mq:mht] game 21/100 (W, win): 5 moves analysed
[mq:mht] game 22/100 (B, loss): 11 moves analysed
[mq:mht] game 23/100 (W, win): 5 moves analysed
[mq] game vs mht aborted: EngineTerminatedError: engine process died unexpectedly (exit code: -11)
[mq:mht] game 25/100 (W, win): 5 moves analysed
[mq:mht] game 26/100 (B, loss): 13 moves analysed
[mq:mht] game 27/100 (W, win): 5 moves analysed
[mq:mht] game 28/100 (B, loss): 21 moves analysed
[mq:mht] game 29/100 (W, loss): 19 moves analysed
[mq:mht] game 30/100 (B, loss): 11 moves analysed
[mq:mht] game 31/100 (W, win): 5 moves analysed
[mq:mht] game 32/100 (B, loss): 12 moves analysed
[mq:mht] game 33/100 (W, win): 5 moves analysed
[mq:mht] game 34/100 (B, loss): 11 moves analysed
[mq:mht] game 35/100 (W, win): 5 moves analysed
[mq:mht] game 36/100 (B, loss): 11 moves analysed
[mq:mht] game 37/100 (W, win): 5 moves analysed
[mq:mht] game 38/100 (B, loss): 15 moves analysed
[mq:mht] game 39/100 (W, win): 5 moves analysed
[mq:mht] game 40/100 (B, loss): 11 moves analysed
[mq:mht] game 41/100 (W, win): 5 moves analysed
[mq:mht] game 42/100 (B, loss): 14 moves analysed
[mq:mht] game 43/100 (W, win): 5 moves analysed
[mq] game vs mht aborted: EngineTerminatedError: engine process died unexpectedly (exit code: -11)
[mq:mht] game 45/100 (W, win): 5 moves analysed
[mq:mht] game 46/100 (B, loss): 18 moves analysed
[mq:mht] game 47/100 (W, win): 5 moves analysed
[mq] game vs mht aborted: TypeError: list indices must be integers or slices, not NoneType
[mq:mht] game 49/100 (W, win): 5 moves analysed
[mq:mht] game 50/100 (B, loss): 17 moves analysed
[mq:mht] game 51/100 (W, win): 5 moves analysed
[mq:mht] game 52/100 (B, loss): 13 moves analysed
[mq:mht] game 53/100 (W, win): 5 moves analysed
[mq:mht] game 54/100 (B, loss): 15 moves analysed
[mq:mht] game 55/100 (W, win): 5 moves analysed
[mq:mht] game 56/100 (B, loss): 18 moves analysed
[mq:mht] game 57/100 (W, win): 5 moves analysed
[mq:mht] game 58/100 (B, loss): 11 moves analysed
[mq:mht] game 59/100 (W, loss): 14 moves analysed
[mq:mht] game 60/100 (B, loss): 10 moves analysed
[mq:mht] game 61/100 (W, win): 5 moves analysed
[mq] game vs mht aborted: EngineTerminatedError: engine process died unexpectedly (exit code: -11)
[mq:mht] game 63/100 (W, win): 7 moves analysed
[mq:mht] game 64/100 (B, loss): 14 moves analysed
[mq:mht] game 65/100 (W, win): 5 moves analysed
[mq:mht] game 66/100 (B, loss): 12 moves analysed
[mq:mht] game 67/100 (W, win): 5 moves analysed
[mq:mht] game 68/100 (B, loss): 14 moves analysed
[mq:mht] game 69/100 (W, win): 5 moves analysed
[mq:mht] game 70/100 (B, loss): 20 moves analysed
[mq:mht] game 71/100 (W, win): 5 moves analysed
[mq:mht] game 72/100 (B, loss): 14 moves analysed
[mq:mht] game 73/100 (W, loss): 13 moves analysed
[mq:mht] game 74/100 (B, loss): 18 moves analysed
[mq:mht] game 75/100 (W, win): 5 moves analysed
[mq:mht] game 76/100 (B, loss): 11 moves analysed
[mq:mht] game 77/100 (W, win): 5 moves analysed
[mq:mht] game 78/100 (B, loss): 14 moves analysed
[mq:mht] game 79/100 (W, win): 5 moves analysed
[mq:mht] game 80/100 (B, loss): 20 moves analysed
[mq:mht] game 81/100 (W, win): 5 moves analysed
[mq:mht] game 82/100 (B, loss): 11 moves analysed
[mq:mht] game 83/100 (W, loss): 11 moves analysed
[mq:mht] game 84/100 (B, loss): 13 moves analysed
[mq:mht] game 85/100 (W, win): 5 moves analysed
[mq:mht] game 86/100 (B, loss): 28 moves analysed
[mq:mht] game 87/100 (W, win): 5 moves analysed
[mq:mht] game 88/100 (B, loss): 28 moves analysed
[mq:mht] game 89/100 (W, win): 5 moves analysed
[mq:mht] game 90/100 (B, loss): 20 moves analysed
[mq:mht] game 91/100 (W, win): 5 moves analysed
[mq:mht] game 92/100 (B, loss): 14 moves analysed
[mq:mht] game 93/100 (W, win): 5 moves analysed
[mq:mht] game 94/100 (B, loss): 15 moves analysed
[mq:mht] game 95/100 (W, win): 5 moves analysed
[mq:mht] game 96/100 (B, loss): 19 moves analysed
[mq:mht] game 97/100 (W, loss): 10 moves analysed
[mq:mht] game 98/100 (B, loss): 11 moves analysed
[mq:mht] game 99/100 (W, win): 5 moves analysed
[mq:mht] game 100/100 (B, loss): 20 moves analysed
167879 03:34:08  🦀  Starting a new game as black against RNaDPlayer.
167879 03:34:08  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 03:34:08  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 03:34:25  🦀  I won by KING_CAPTURE
[mq:strangefish2] game 1/100 (W, loss): 9 moves analysed
167879 03:34:25  🦀  Starting a new game as white against RNaDPlayer.
167879 03:34:25  🦀  Starting a new game as white against RNaDPlayer.
167879 03:34:25  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
167879 03:34:25  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
