
=== Leaderboard (686502 games, 139 errored) ===
player                       elo  games   score   +/-
v0.40.0_80000                666   2864    0.54     6
v0.42.0_160000               666   2863    0.54     6
v0.33.0_50000                666   2865    0.54     6
v0.35.0_30000                666   2867    0.54     6
v0.36.0_160000               663   2865    0.54     6
v0.31.0_40000                661   4072    0.56     5
v0.37.0_60000                661   2866    0.54     6
v0.31.0_20000                661   4072    0.56     5
v0.11.0_80000                660   4072    0.57     5
v0.32.0_40000                660   2865    0.54     6
v0.40.0_90000                660   2864    0.53     6
v0.41.0_80000                660   2864    0.53     6
v0.37.0_50000                659   2867    0.53     6
v0.33.0_180000               658   2865    0.53     6
v0.47.0_60000                657   2864    0.53     6
v0.50.0_230000               654    935    0.42    11
v0.47.0_70000                652   2864    0.52     6
v0.40.0_70000                652   2864    0.52     6
v0.50.0_200000               651    936    0.42    11
v0.39.0_237281               650   2864    0.52     6
v0.33.0_220000               650   2865    0.52     6
v0.33.0_130000               649   2864    0.52     6
v0.36.0_120000               649   2866    0.52     6
v0.41.0_50000                647   2864    0.52     6
v0.34.0_20000                647   2865    0.52     6
v0.32.0_10000                647   2866    0.52     6
v0.50.0_180000               647    936    0.41    11
v0.39.0_240000               646   2864    0.52     6
v0.50.0_220000               645    936    0.41    11
v0.43.0_220000               645   2864    0.51     6
v0.50.0_210000               645    936    0.41    11
v0.41.0_60000                644   2864    0.51     6
v0.16.0_70000                644   4072    0.55     5
v0.41.0_70000                644   2864    0.51     6
v0.32.0_130000               641   2865    0.51     6
v0.49.0_60000                640   2864    0.51     6
v0.33.0_150000               639   2865    0.51     6
v0.49.0_70000                639   2864    0.51     6
v0.45.0_20000                638   2864    0.51     6
v0.37.0_40000                638   2865    0.51     6
v0.39.0_230000               638   2864    0.51     6
v0.49.0_50000                638   2864    0.51     6
v0.49.0_80000                636   2864    0.50     6
v0.43.0_230000               635   2864    0.50     6
v0.39.0_190000               635   2864    0.50     6
v0.33.0_200000               633   2866    0.50     6
v0.48.0_200000               631   2864    0.50     6
v0.45.0_80000                631   2864    0.50     6
v0.47.0_50000                630   2864    0.50     6
v0.48.0_210000               630   2864    0.49     6
v0.48.0_120000               629   2864    0.49     6
v0.44.0_80000                629   2863    0.49     6
v0.36.0_10000                629   2865    0.49     6
v0.40.0_60000                628   2864    0.49     6
v0.45.0_30000                628   2864    0.49     6
v0.50.0_170000               628    936    0.39    11
v0.47.0_80000                627   2864    0.49     6
v0.37.0_70000                627   2865    0.49     6
v0.48.0_90000                627   2864    0.49     6
v0.39.0_220000               627   2864    0.49     6
v0.50.0_150000               627    936    0.38    11
v0.32.0_50000                627   2867    0.49     6
v0.39.0_200000               626   2864    0.49     6
v0.48.0_110000               626   2864    0.49     6
v0.39.0_210000               625   2864    0.49     6
v0.48.0_150000               625   2864    0.49     6
v0.49.0_90000                625   2864    0.49     6
v0.35.0_20000                625   2865    0.49     6
v0.37.0_30000                624   2866    0.49     6
v0.39.0_170000               624   2864    0.49     6
v0.48.0_100000               624   2864    0.49     6
v0.48.0_160000               622   2864    0.48     6
v0.50.0_160000               622    936    0.38    11
v0.48.0_130000               622   2864    0.48     6
v0.48.0_170000               621   2864    0.48     6
v0.41.0_40000                621   2864    0.48     6
v0.48.0_156314               621   2864    0.48     6
v0.39.0_150000               620   2864    0.48     6
v0.45.0_60000                620   2864    0.48     6
v0.48.0_140000               620   2864    0.48     6
v0.48.0_180000               619   2864    0.48     6
v0.39.0_180000               618   2864    0.48     6
v0.48.0_190000               618   2864    0.48     6
v0.32.0_160000               618   2865    0.48     6
v0.39.0_160000               617   2864    0.48     6
v0.36.0_90000                617   2865    0.48     6
v0.39.0_130000               617   2864    0.48     6
v0.45.0_70000                617   2864    0.48     6
v0.45.0_50000                616   2864    0.48     6
v0.45.0_40000                615   2864    0.48     6
v0.34.0_30000                615   2866    0.47     6
v0.39.0_120000               613   2864    0.47     6
v0.39.0_110000               613   2864    0.47     6
v0.40.0_40000                613   2864    0.47     6
v0.33.0_230000               611   2865    0.47     6
v0.39.0_140000               611   2864    0.47     6
v0.44.0_70000                611   2864    0.47     6
v0.36.0_140000               611   2868    0.47     6
v0.48.0_220000               610   2864    0.47     6
v0.36.0_100000               610   2869    0.47     6
v0.50.0_140000               610    936    0.36    11
v0.43.0_200000               609   2864    0.47     6
v0.39.0_100000               608   2864    0.47     6
v0.44.0_40000                608   2864    0.47     6
v0.47.0_40000                608   2864    0.47     6
v0.33.0_210000               608   2866    0.47     6
v0.43.0_190000               607   2864    0.46     6
v0.43.0_240000               607   2864    0.46     6
v0.49.0_100000               605   2864    0.46     6
